0,lived-in,Lee,Singapore
1,born-in,Pat Passlof,Brunswick
2,travels-to,Saakashvili,Tbilisi
3,lived-in,John Edwards,North Carolina
4,lived-in,Suu Kyi,Yangon
5,died-in,Bhutto,Rawalpindi
6,lived-in,Robert Aderholt,Haleyville
7,lived-in,Schwarzenegger,California
8,born-in,Tina Kim,Seoul
9,travels-to,Kassir,Beirut
10,born-in,Vladimir Makhnutin,Chusovoy
11,died-in,Florence Reece,Knoxville
12,nationality,Nabi Sensoy,Turkey
13,travels-to,John Kerry,Afghanistan
14,died-in,Grand Duchess Maria,Yekaterinburg
15,born-in,Ted Dey,Hull
16,travels-to,Liam Hemsworth,Los Angeles
17,born-in,Reed Hansen,Orlando
18,lived-in,Hau Lung-bin,Taipei
19,lived-in,George Yeo,Singapore
20,born-in,Gopal Gurunath Bewoor,Madhya Pradesh
21,born-in,Costa Panayi,Stretford
22,travels-to,Nawaz Sharif,Lahore
23,born-in,Thomas Scott,Pennsylvania
24,travels-to,Obama,Boston
25,born-in,Carey,Newark
26,lived-in,Michael B. Enzi,Nevada
27,born-in,Madeleine L'Engle Camp,New York City
28,died-in,Jay Morago,Phoenix
29,died-in,Ignacio Uria Mendizabal,Azpeitia
30,lived-in,Ellsbury,Madras
31,lived-in,Mayor Ken Livingstone,London
32,born-in,Zhang Li,Shanghai
33,lived-in,Romney,Massachusetts
34,lived-in,Ferlinghetti,U.S.
35,travels-to,Michelle Obama,Boston
36,travels-to,John Kerry,Cairo
37,lived-in,Adam Putnam,Bartow
38,born-in,Freeman,Memphis
39,born-in,Lolita Ananasova,Kharkiv
40,nationality,Grigor Dimitrov,Bulgaria
41,lived-in,Kenny Perry,Kentucky
42,born-in,Lei Sufen,Nanning
43,born-in,Matt Stevic,Leongatha
44,travels-to,Biden,India
45,born-in,Paul Zuccarelli,Milan
46,born-in,Thomas Clowes,Marblehead
47,died-in,Pinochet,Santiago
48,born-in,Stingley,Chicago
49,travels-to,Gates,Middle East
50,died-in,Litvinenko,London
51,travels-to,Defense Secretary Chuck Hagel,Israel
52,nationality,Prince Bandar bin Sultan,Saudi Arabia
53,born-in,Lee Childs,Yeovil
54,lived-in,Blagojevich,Chicago
55,died-in,Smith,Hollywood
56,born-in,Selo Soemardjan,Yogyakarta
57,born-in,Silas Seandel,New York City
58,died-in,Theo Van Gogh,Amsterdam
59,born-in,Nur Bekri,Bole
60,travels-to,John Kerry,Seoul
61,travels-to,Rashid Rauf,Pakistan
62,travels-to,John Kerry,Baghdad
63,born-in,Samak,Bangkok
64,lived-in,McCain,Arizona
65,lived-in,Tamblyn,Santa Monica
66,born-in,Howard Loxton,Birmingham
67,died-in,Leona Helmsley,Greenwich
68,died-in,George Osmond,Provo
69,died-in,John Lennon,New York City
70,travels-to,Barack Obama,Israel
71,born-in,Vladimir Georgiev,Sofia
72,lived-in,Jennifer Brunner,Ohio
73,born-in,Gianmarco Pozzecco,Gorizia
74,travels-to,Obama,Israel
75,travels-to,John Kerry,Afghanistan
76,lived-in,Cecil B. DeMille,Hollywood
77,lived-in,Peter Chan,Hong Kong
78,born-in,Adolph Albrecht Erlenmeyer,Wiesbaden
79,born-in,A. M. Esmonde,Swansea
80,travels-to,John Kerry,Islamabad
81,born-in,Lionel Tiger,Montreal
82,born-in,Philip Warwick,Westminster
83,lived-in,Stuart Sternberg,New York
84,born-in,Tom Lynskey,Galway
85,born-in,Don Kelly,Market Harborough
86,born-in,Jared Cohen,Weston
87,lived-in,John Georges,New Orleans
88,travels-to,Kerry,Pakistan
89,travels-to,Musharraf,Pakistan
90,born-in,Raul Olle,Tartu
91,travels-to,John Kerry,Saudi Arabia
