born-in,"Emmanuel Scheffer (, born 1 February 1924 in Germany) is an Israeli football coach.",Emmanuel Scheffer,Germany
born-in,"Juan Laporte (born November 24, 1959) is a former boxer who was born in Guayama, Puerto Rico.",Juan Laporte,Guayama
born-in,"Vanessa Chinitor (born 13 October 1976, Dendermonde) is a Belgian singer, best known outside Belgium for her participation in the 1999 Eurovision Song Contest.",Vanessa Chinitor,Dendermonde
born-in,"Angus Mackay, born in Lima, Peru in 1939, is a Scottish historian and Hispanist, specialising in Later Medieval Spain.",Angus Mackay,Lima
born-in,"Ana Luiza Nobre is a Brazilian architectural historian, author and critic, born in Rio de Janeiro in 1964.",Ana Luiza Nobre,Rio de Janeiro
born-in,"Morris Bear Squire was born on November 5 1923 in Chicago Illinois, the son Ukrainian immigrants.",Morris Bear Squire,Chicago
born-in,"Isaac Passy (; March 13, 1928, Plovdiv -- August 13, 2010) was a Bulgarian philosopher specializing in aesthetics.",Isaac Passy,Plovdiv
born-in,Jonny Restrick (born 2 February 1979 in Northern Ireland) is a British a racing driver manager and a former Northern Irish karting champion.,Jonny Restrick,Northern Ireland
born-in,"Hermann Wilbrand (May 22, 1851 -- 1935) was a German ophthalmologist born in Giessen.",Hermann Wilbrand,Giessen
born-in,"Jonathan Darlington (born 1956 Lapworth, England) is a British conductor and the Music Director of the Duisburg Philharmonic Orchestra and Vancouver Opera.",Jonathan Darlington,Lapworth
born-in,"Chu Fujia (; born 10 September 1989 in Jiangsu, China) is a Chinese baseball infielder for the Jiangsu Hopestars.",Chu Fujia,Jiangsu
born-in,"Alex Halberstadt (born in 1970 in Moscow) is an American writer, noted in particular for his biography of Doc Pomus.",Alex Halberstadt,Moscow
born-in,"Ad Bol (born 8 December 1970, Roosendaal) is a Dutch director and screenwriter.",Ad Bol,Roosendaal
born-in,"Linda Crockett, born in Hamilton, Ontario, Canada, is an American author and teacher, best known for her horror, romance, and psychological thrillers.",Linda Crockett,Hamilton
born-in,"Mark Robinson (born November 21, 1968) is a footballer born in Rochdale, Lancashire.",Mark Robinson,Rochdale
born-in,"Francisco de Osuna (1497--1541) was a Spanish author, born in Seville.",Francisco de Osuna,Seville
born-in,Maude Duncan was born to a well-to-do family in Virginia.,Maude Duncan,Virginia
born-in,"Morton Estrin, the noted American pianist, was born in Burlington, Vermont in 1923.",Morton Estrin,Burlington
born-in,"Keppel Harcourt Barnard (31 March 1887 London -- 22 September 1964 Cape Town), was a South African zoologist and museum director.",Keppel Harcourt Barnard,London
born-in,"Gilbert Velasquez, born in Seguin, TX and raised in San Antonio, TX.",Gilbert Velasquez,Seguin
born-in,Lars Gabriel von Haartman (23 September 1789 Turku - 16 December 1859 Merimasku) was a Swedish-speaking Finnish politician.,Lars Gabriel von Haartman,Turku
born-in,"Nina Repeta (born September 10, 1967 in Shelby, North Carolina) is an American actress best known for her role as Bessie Potter on the television drama Dawson's Creek, which aired from 1998 to 2003.",Nina Repeta,Shelby
born-in,"Francis Davis (born August 30, 1946, Philadelphia) is an American author and journalist.",Francis Davis,Philadelphia
born-in,"Mark Koevermans (born 3 February 1968 in Rotterdam) is a former tennis player from the Netherlands, who turned professional in 1987.",Mark Koevermans,Rotterdam
born-in,"George Smalridge was born at Lichfield, son of the Sheriff of Lichfield Thomas Smalridge, George received his early education, this being completed at Westminster School and at Christ Church, Oxford.",George Smalridge,Lichfield
born-in,"Ric Marlow (born December 21, 1925 New York City) is an American songwriter and actor, best known for co-writing with Bobby Scott the song ``A Taste of Honey'' which won a Grammy in 1962.",Ric Marlow,New York City
born-in,"Max Ferguson (born 1959, New York City) is an American artist best known for his realistic paintings of vanishing urban scenes in and around New York City.",Max Ferguson,New York City
